County,Population,Households,Poverty_Perc,Sales_Tax,Businesses,Total_crimes,Marijuana_DrugArrests,Total_DrugArrests,Total_CannBus,Sales_Tax_std,Businesses_std,Total_crimes_std,Marijuana_DrugArrests_std,Total_DrugArrests_std,Total_CannBus_std,COUNTY_NAM
McLeod,36771.0,15004.0,0.06872263468494194,26638482.0,946.0,434.0,3.0,7.0,23.0,724.442685812189,0.025726795572597973,0.011802779364172854,8.158603247124092e-05,0.00019036740909956216,0.0006254929156128471,McLeod
Meeker,23400.0,9263.0,0.06585470085470085,15264417.0,624.0,253.0,24.0,55.0,13.0,652.3255128205128,0.02666666666666667,0.010811965811965812,0.0010256410256410256,0.0023504273504273503,0.0005555555555555556,Meeker
Mille Lacs,26459.0,10593.0,0.1062398427756151,16304071.0,675.0,679.0,37.0,115.0,16.0,616.2013303601799,0.025511168222532975,0.025662345515703542,0.0013983899618277334,0.004346347178653766,0.0006047091726822632,Mille Lacs
Morrison,34010.0,13688.0,0.09876506909732431,18047695.0,1003.0,570.0,1.0,2.0,18.0,530.6584827991767,0.02949132608056454,0.01675977653631285,2.940311673037342e-05,5.880623346074684e-05,0.0005292561011467215,Morrison
Mower,40029.0,15700.0,0.1318294236678408,18877908.0,809.0,808.0,52.0,124.0,34.0,471.6057858052912,0.020210347498063903,0.0201853656099328,0.0012990581828174574,0.003097754128257014,0.0008493841964575682,Mower
Murray,8179.0,3581.0,0.06993519990218854,3283575.0,301.0,27.0,13.0,91.0,3.0,401.4641154175327,0.036801564983494316,0.003301137058320088,0.0015894363614133756,0.01112605452989363,0.0003667930064800098,Murray
Nicollet,34454.0,12728.0,0.07833633250130609,14047957.0,670.0,421.0,1.0,5.0,23.0,407.73080048760664,0.019446218145933707,0.01221919080513148,2.902420618796076e-05,0.0001451210309398038,0.0006675567423230974,Nicollet
Nobles,22290.0,7851.0,0.1155226558995065,13709347.0,550.0,191.0,123.0,363.0,10.0,615.0447285778376,0.024674742036787798,0.008568864961866308,0.005518169582772544,0.016285329744279948,0.00044863167339614175,Nobles
Norman,6441.0,2733.0,0.09160068312373855,2762739.0,185.0,63.0,57.0,169.0,6.0,428.93013507219376,0.02872224809812141,0.009781089892873778,0.008849557522123894,0.026238161776121722,0.0009315323707498836,Norman
Olmsted,162847.0,65242.0,0.07600385638052896,157227663.0,3403.0,3179.0,15.0,56.0,117.0,965.4931500119744,0.02089691550965016,0.019521391244542424,9.211099989560754e-05,0.00034388106627693477,0.0007184657991857388,Olmsted
Otter Tail,60081.0,25123.0,0.08352058054959138,52809983.0,1815.0,606.0,4.0,83.0,42.0,878.9797606564472,0.030209217556298996,0.010086383382433714,6.65767880028628e-05,0.0013814683510594032,0.0006990562740300594,Otter Tail
Pennington,13992.0,6077.0,0.10477415666094911,12825422.0,359.0,207.0,5.0,44.0,11.0,916.6253573470555,0.025657518582046884,0.014794168096054888,0.000357347055460263,0.0031446540880503146,0.0007861635220125787,Pennington
Pine,28876.0,11442.0,0.10091425405180773,12025723.0,702.0,616.0,81.0,237.0,29.0,416.4608325252805,0.024310846377614628,0.021332594542180356,0.002805097658955534,0.008207507965092118,0.0010042942235766728,Pine
Pipestone,9424.0,3948.0,0.09815365025466893,4549692.0,299.0,45.0,17.0,25.0,4.0,482.7771646859083,0.031727504244482174,0.004775042444821732,0.0018039049235993208,0.0026528013582342953,0.00042444821731748726,Pipestone
Polk,31192.0,12534.0,0.11422800718132854,14016111.0,706.0,285.0,185.0,651.0,27.0,449.3495447550654,0.022634008720184663,0.009136958194408823,0.005931007950756604,0.020870736086175942,0.000865606565786099,Polk
Pope,11308.0,4862.0,0.08091616554651575,5681456.0,354.0,82.0,2.0,11.0,5.0,502.4280155642023,0.0313052706048815,0.007251503360452776,0.00017686593562079943,0.0009727626459143969,0.0004421648390519986,Pope
Ramsey,552352.0,218077.0,0.1294229042349806,504830785.0,11271.0,24233.0,23.0,46.0,418.0,913.9657048403916,0.020405466079601413,0.0438723857250449,4.1640113550779213e-05,8.328022710155843e-05,0.0007567638027924222,Ramsey
Red Lake,3935.0,1653.0,0.1085133418043202,2095928.0,102.0,5.0,27.0,60.0,5.0,532.6373570520966,0.025921219822109275,0.0012706480304955528,0.006861499364675985,0.015247776365946633,0.0012706480304955528,Red Lake
Redwood,15425.0,6318.0,0.08985413290113452,9577056.0,499.0,194.0,132.0,278.0,10.0,620.8788330632091,0.03235008103727715,0.012576985413290113,0.008557536466774717,0.018022690437601296,0.0006482982171799027,Redwood
Renville,14723.0,6153.0,0.09325545065543707,5085911.0,416.0,165.0,1.0,8.0,8.0,345.43985600760715,0.028255111050736942,0.011206955104258643,6.792094002580996e-05,0.0005433675202064797,0.0005433675202064797,Renville
Rice,67097.0,23416.0,0.08803672295333621,34462243.0,1467.0,818.0,10.0,26.0,40.0,513.618239265541,0.02186386872736486,0.012191305125415443,0.00014903795996840395,0.00038749869591785027,0.0005961518398736158,Rice
Rock,9704.0,3892.0,0.08944765045342128,3616212.0,275.0,51.0,77.0,404.0,8.0,372.6516900247321,0.028338829348722176,0.0052555647155812036,0.007934872217642209,0.0416323165704864,0.0008244023083264633,Rock
Roseau,15331.0,6340.0,0.07390255038810253,8439028.0,437.0,111.0,137.0,529.0,18.0,550.4551562194247,0.02850433761659383,0.0072402322092492335,0.008936142456460766,0.03450525079903464,0.0011740917096079839,Roseau
Scott,150928.0,52645.0,0.05101770380578819,102273045.0,3093.0,2559.0,8.0,17.0,67.0,677.6280411852009,0.020493215307961412,0.016955104420650905,5.300540655146825e-05,0.00011263648892187003,0.00044392027986854657,Scott
Sherburne,97183.0,34035.0,0.050965703878250314,61145537.0,2174.0,847.0,304.0,699.0,58.0,629.1793523558647,0.02237016762190918,0.008715516088204728,0.0031281191154831607,0.007192615992508978,0.0005968121996645504,Sherburne
Sibley,14836.0,5989.0,0.07481801024534915,3417308.0,406.0,52.0,398.0,588.0,13.0,230.33890536532758,0.02736586681046104,0.00350498786734969,0.026826637907791856,0.03963332434618495,0.0008762469668374225,Sibley
Stearns,160211.0,60587.0,0.1152417749093383,154814804.0,4270.0,4621.0,45.0,92.0,120.0,966.3181928831353,0.026652352210522375,0.02884321301283932,0.0002808795900406339,0.0005742427174164071,0.0007490122401083571,Stearns
Steele,37406.0,14823.0,0.07718013152970112,31639069.0,993.0,374.0,10.0,13.0,36.0,845.8287173180773,0.026546543335293802,0.009998395979254665,0.0002673367908891622,0.0003475378281559108,0.0009624124472009838,Steele
Stevens,9671.0,3697.0,0.12242787715851515,9466972.0,298.0,109.0,6.0,27.0,5.0,978.9031123978906,0.030813773136180334,0.011270809637059249,0.0006204115396546376,0.002791851928445869,0.0005170096163788646,Stevens
Swift,9838.0,4064.0,0.10510266314291522,5271690.0,300.0,41.0,41.0,81.0,4.0,535.8497662126448,0.030494002846106934,0.004167513722301281,0.004167513722301281,0.008233380768448872,0.0004065867046147591,Swift
Todd,25262.0,9898.0,0.12968094370992003,6699592.0,627.0,210.0,2.0,2.0,16.0,265.2043385321827,0.024819887578180665,0.008312881007046156,7.917029530520149e-05,7.917029530520149e-05,0.0006333623624416119,Todd
Traverse,3360.0,1439.0,0.08392857142857142,1436739.0,128.0,48.0,22.0,45.0,0.0,427.60089285714287,0.0380952380952381,0.014285714285714285,0.006547619047619048,0.013392857142857142,0.0,Traverse
Wabasha,21387.0,8923.0,0.07588722120914575,8834195.0,709.0,171.0,13.0,45.0,19.0,413.06377706083134,0.0331509795670267,0.007995511291906298,0.0006078458876887829,0.00210408191892271,0.0008883901435451443,Wabasha
Wadena,14065.0,5815.0,0.1385709207252044,11114861.0,414.0,99.0,32.0,57.0,13.0,790.2496267330253,0.02943476715250622,0.007038748666903662,0.0022751510842516885,0.00405261286882332,0.0009242801279772485,Wadena
Waseca,18968.0,7387.0,0.0747574862927035,7823664.0,407.0,369.0,301.0,616.0,13.0,412.4664698439477,0.021457191058625053,0.01945381695487136,0.015868831716575285,0.03247574862927035,0.0006853648249683678,Waseca
Washington,267568.0,99507.0,0.041611851940441306,194256814.0,5453.0,4896.0,16.0,32.0,136.0,726.0091416013873,0.020379866052741735,0.018298152245410513,5.979788315493632e-05,0.00011959576630987264,0.0005082820068169587,Washington
Watonwan,11253.0,4476.0,0.12138985159513019,4251631.0,276.0,120.0,28.0,60.0,5.0,377.8220030214165,0.024526792855238604,0.010663822980538524,0.0024882253621256556,0.005331911490269262,0.0004443259575224385,Watonwan
Wilkin,6506.0,2735.0,0.09729480479557331,1301824.0,138.0,56.0,36.0,108.0,1.0,200.09591146633878,0.021211189671072855,0.008607439286812173,0.005533353827236397,0.016600061481709193,0.0001537042729787888,Wilkin
Winona,49671.0,20111.0,0.12619033238710717,28700155.0,1203.0,873.0,315.0,540.0,46.0,577.8050572768819,0.024219363411246,0.017575647762275774,0.006341728574017032,0.010871534698314912,0.0009260936965231222,Winona
Wright,141337.0,50509.0,0.04840204617333041,97695190.0,3363.0,1024.0,19.0,31.0,76.0,691.221619250444,0.023794194018551405,0.007245095056496176,0.0001344304746810814,0.00021933393237439595,0.0005377218987243255,Wright
Yellow Medicine,9528.0,4040.0,0.09246431570109152,3352272.0,323.0,103.0,4.0,22.0,6.0,351.8337531486146,0.03390008396305626,0.01081024349286314,0.00041981528127623844,0.0023089840470193117,0.0006297229219143577,Yellow Medicine
1-2,200231.0,86540.0,0.1316329639266647,177653955.0,5144.0,5800.0,245.0,401.0,237.0,887.2450070168954,0.02569032767153937,0.028966543642093383,0.001223586757295324,0.0020026868966343874,0.0011836329039958847,Saint Louis
